Data Provided By MyFoodData.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Click ""File"" then ""Download as"" or ""Select All and Copy Paste"" to get the data.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"If you have a google account click ""File"" then ""Make a Copy"" to edit your own copy of the data. All serving sizes are 100 grams.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ID,name,Food Group,Calories,Fat (g),Protein (g),Carbohydrate (g),Sugars (g),Fiber (g),Cholesterol (mg),Saturated Fats (g),Calcium (mg),"Iron, Fe (mg)","Potassium, K (mg)",Magnesium (mg),"Vitamin A, IU (IU)","Vitamin A, RAE (mcg)",Vitamin C (mg),Vitamin B-12 (mcg),Vitamin D (mcg),Vitamin E (Alpha-Tocopherol) (mg),Added Sugar (g),Net-Carbs (g),Water (g),Omega 3s (mg),Omega 6s (mg),PRAL score,Trans Fatty Acids (g),Soluble Fiber (g),Insoluble Fiber (g),Sucrose (g),Glucose (Dextrose) (g),Fructose (g),Lactose (g),Maltose (g),Galactose (g),Starch (g),Total sugar alcohols (g),"Phosphorus, P (mg)",Sodium (mg),"Zinc, Zn (mg)","Copper, Cu (mg)",Manganese (mg),"Selenium, Se (mcg)","Fluoride, F (mcg)",Molybdenum (mcg),Chlorine (mg),Thiamin (B1) (mg),Riboflavin (B2) (mg),Niacin (B3) (mg),Pantothenic acid (B5) (mg),Vitamin B6 (mg),Biotin (B7) (mcg),Folate (B9) (mcg),Folic acid (mcg),Food Folate (mcg),Folate DFE (mcg),Choline (mg),Betaine (mg),Retinol (mcg),"Carotene, beta (mcg)","Carotene, alpha (mcg)",Lycopene (mcg),Lutein + Zeaxanthin (mcg),Vitamin D2 (ergocalciferol) (mcg),Vitamin D3 (cholecalciferol) (mcg),Vitamin D (IU) (IU),Vitamin K (mcg),Dihydrophylloquinone (mcg),Menaquinone-4 (mcg),"Fatty acids, total monounsaturated (mg)","Fatty acids, total polyunsaturated (mg)","18:3 n-3 c,c,c (ALA) (mg)",20:5 n-3 (EPA) (mg),22:5 n-3 (DPA) (mg),22:6 n-3 (DHA) (mg),Tryptophan (mg),Threonine (mg),Isoleucine (mg),Leucine (mg),Lysine (mg),Methionine (mg),Cystine (mg),Phenylalanine (mg),Tyrosine (mg),Valine (mg),Arginine (mg),Histidine (mg),Alanine (mg),Aspartic acid (mg),Glutamic acid (mg),Glycine (mg),Proline (mg),Serine (mg),Hydroxyproline (mg),Alcohol (g),Caffeine (mg),Theobromine (mg),Serving Weight 1 (g),Serving Description 1 (g),Serving Weight 2 (g),Serving Description 2 (g),Serving Weight 3 (g),Serving Description 3 (g),Serving Weight 4 (g),Serving Description 4 (g),Serving Weight 5 (g),Serving Description 5 (g),Serving Weight 6 (g),Serving Description 6 (g),Serving Weight 7 (g),Serving Description 7 (g),Serving Weight 8 (g),Serving Description 8 (g),Serving Weight 9 (g),Serving Description 9 (g),200 Calorie Weight (g)
167874,Pork Cured Ham Steak Boneless Extra Lean Unheated,Meats,122,4.25,19.56,0,NULL,0,45,1.44,4,1,325,19,0,0,32.3,0.79,NULL,NULL,NULL,0,72.24,40,430,11.795,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,260,1269,2.02,0.08,0.037,15.5,NULL,NULL,NULL,0.8,0.2,5.08,0.62,0.37,NULL,4,0,4,4,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1960,470,NULL,0,0,0,235,870,858,1552,1658,516,295,845,641,848,1270,701,1154,1852,3189,1017,836,801,NULL,NULL,NULL,NULL,28.4,1 oz,57,1 slice,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,NULL,NULL,NULL,163.934
167875,Pork Cured Ham Whole Separable Lean And Fat Unheated,Meats,246,18.52,18.49,0.06,0,0,56,6.62,7,0.71,310,15,0,0,34.9,0.74,NULL,0.27,NULL,0.06,59.71,190,1360,9.471,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,201,1284,1.76,0.071,0.028,15.3,NULL,NULL,NULL,0.777,0.189,4.463,0.467,0.41,NULL,1,0,1,1,NULL,NULL,0,0,0,0,0,NULL,NULL,NULL,0,0,NULL,8700,1640,NULL,0,0,0,210,806,787,1455,1565,473,270,791,584,807,1250,630,1014,1627,2801,893,733,703,NULL,0,0,0,140,1 cup,28.4,1 oz,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,NULL,NULL,NULL,81.301
167876,Pork Cured Ham Whole Separable Lean Only Unheated,Meats,147,5.71,22.32,0.05,0,0,52,1.92,7,0.81,371,18,0,0,0,0.87,0.7,0.2,NULL,0.05,68.26,60,520,11.128,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,232,1516,2.04,0.079,0.035,18.8,NULL,NULL,NULL,0.932,0.226,5.252,0.538,0.53,NULL,4,0,4,4,84.7,5.6,0,0,0,0,0,NULL,0.7,27,0,0,NULL,2620,660,NULL,0,0,0,268,992,978,1771,1892,589,336,964,732,967,1449,800,1317,2113,3638,1160,953,914,NULL,0,0,0,140,1 cup,28.4,1 oz,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,NULL,NULL,NULL,136.054
167877,Pork Cured Separable Fat (From Ham And Arm Picnic) Unheated,Meats,579,61.41,5.68,0.09,0,0,68,22.52,5,0.39,105,6,0,0,0,0.33,0.2,0,NULL,0.09,31.06,630,5730,3.971,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,98,505,0.8,0.044,0.005,4.7,NULL,NULL,NULL,0.241,0.068,1.82,0.23,0.03,NULL,1,0,1,1,23.2,1.5,0,0,0,0,0,NULL,0.2,8,0,0,NULL,29470,6530,NULL,0,0,0,18,187,150,396,470,84,50,212,92,271,586,64,318,469,780,406,302,214,NULL,0,0,0,28.4,1 oz,85,3 oz,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,NULL,NULL,NULL,34.542
167878,Pork Cured Separable Fat (From Ham And Arm Picnic) Roasted,Meats,591,61.86,7.64,0,NULL,0,86,22.69,8,0.61,164,9,0,0,0,0.42,NULL,NULL,NULL,0,28.89,640,5770,5.863,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,160,624,1.31,0.069,0.007,11.7,NULL,NULL,NULL,0.287,0.091,2.228,0.293,0.03,NULL,2,0,2,2,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,29690,6580,NULL,0,0,0,25,251,201,534,633,113,67,286,124,365,789,86,428,631,1049,546,406,287,NULL,NULL,NULL,NULL,28.4,1 oz,85,3 oz,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,NULL,NULL,NULL,33.841
167879,Pork Cured Shoulder Arm Picnic Separable Lean And Fat Roasted,Meats,280,21.35,20.43,0,0,0,58,7.67,10,0.95,258,14,0,0,0,0.93,0.7,0.24,NULL,0,54.73,220,1980,12.246,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,221,1072,2.51,0.113,0.024,33.6,NULL,NULL,NULL,0.612,0.19,4.127,0.559,0.28,NULL,3,0,3,3,79.8,5.4,0,0,0,0,0,NULL,0.7,29,0,0,NULL,10140,2320,NULL,0,0,0,227,885,861,1602,1728,516,294,871,637,894,1403,683,1088,1746,3005,958,787,755,NULL,0,0,0,140,1 cup,85,3 oz,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,NULL,NULL,NULL,71.429
167880,Pork Cured Shoulder Arm Picnic Separable Lean Only Roasted,Meats,170,7.04,24.94,0,0,0,48,2.36,11,1.08,292,16,0,0,0,1.11,0.9,0.26,NULL,0,63.86,80,640,14.487,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,243,1231,2.94,0.128,0.03,41.3,NULL,NULL,NULL,0.727,0.226,4.798,0.654,0.37,NULL,4,0,4,4,101.4,6.8,0,0,0,0,0,NULL,0.9,35,0,0,NULL,3230,810,NULL,0,0,0,299,1109,1094,1980,2115,659,375,1078,818,1082,1620,894,1473,2363,4067,1297,1066,1022,NULL,0,0,0,140,1 cup,85,3 oz,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,NULL,NULL,NULL,117.647
167881,Pork Fresh Variety Meats And By-Products Tail Cooked Simmered,Meats,396,35.8,17,0,NULL,0,129,12.45,14,0.79,157,7,0,0,0,0.55,NULL,NULL,NULL,0,46.7,300,3410,6.39,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,47,25,1.64,0.067,0.006,3.1,NULL,NULL,NULL,0.07,0.07,1.12,0.423,0.27,NULL,4,0,4,4,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,16890,3940,NULL,0,0,0,102,595,391,952,1020,306,220,510,340,510,1173,306,1258,1428,2193,2261,1428,731,NULL,0,NULL,NULL,85,3 oz,275,"1 piece, cooked, excluding refuse (yield from 1 lb raw meat with refuse)",NULL,,NULL,,NULL,,NULL,,NULL,,NULL,NULL,NULL,NULL,50.505
167882,Pork Fresh Loin Center Loin (Chops) Bone-In Separable Lean Only Cooked Pan-Fried,Meats,195,7.66,29.56,0,0,0,78,2.597,51,0.99,378,24,10,3,0,0.8,0.5,0.22,NULL,0,62.17,42,923,15.13,0.026,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,268,99,3.42,0.118,0.013,43.7,NULL,NULL,NULL,0.567,0.395,9.667,1.357,0.562,NULL,0,0,0,0,110.6,4.3,3,0,0,0,0,NULL,0.5,20,0,0,NULL,3028,1059,33,0,9,0,352,1300,1400,2433,2629,810,333,1228,1171,1495,1905,1202,1693,2765,4516,1336,1195,1234,103,0,0,0,85,3 oz,172,1 chop,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,NULL,NULL,NULL,102.564
167883,Pork Fresh Loin Center Rib (Chops) Bone-In Separable Lean Only Cooked Pan-Fried,Meats,211,9.73,28.84,0,0,0,77,2.563,45,0.88,335,21,10,3,0,0.79,0.5,0.26,NULL,0,61.14,42,1237,14.695,0.025,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,237,88,3.03,0.105,0.012,38.7,NULL,NULL,NULL,0.553,0.385,9.432,1.324,0.548,NULL,0,0,0,0,96.6,3.7,3,0,0,0,0,NULL,0.5,21,0,0,NULL,5759,1408,33,0,9,0,343,1268,1366,2374,2565,790,325,1198,1143,1459,1858,1173,1652,2698,4406,1303,1166,1204,101,0,0,0,85,3 oz,169,1 chop,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,NULL,NULL,NULL,94.787
167884,Pork Fresh Loin Blade (Chops) Bone-In Separable Lean And Fat Cooked Pan-Fried,Meats,256,16.56,25.02,0,0,0,82,4.266,48,0.84,318,20,17,5,0,0.72,0.7,0.2,NULL,0,58.01,119,2651,12.762,0.119,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,226,85,2.88,0.105,0.011,36.7,NULL,NULL,NULL,0.485,0.335,8.311,1.166,0.476,NULL,0,0,0,0,80.4,3.2,5,0,0,0,0,NULL,0.7,27,0,0,NULL,9466,2830,100,1,17,1,290,1073,1155,2008,2170,669,275,1014,967,1234,1572,992,1398,2282,3727,1103,987,1019,85,0,0,0,85,3 oz,215,1 chop,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,NULL,NULL,NULL,78.125
167885,Pork Cured Ham Extra Lean And Regular Canned Unheated,Meats,144,7.46,17.97,0,0,0,38,2.45,6,0.9,334,16,0,0,0,0.8,0.6,0.19,NULL,0,71.12,80,680,8.918,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,207,1276,1.84,0.078,0.024,22.1,NULL,NULL,NULL,0.879,0.23,4.585,0.458,0.46,NULL,6,0,6,6,68.7,4.5,0,0,0,0,0,NULL,0.6,22,0,0,NULL,3570,760,NULL,0,0,0,204,802,773,1397,1543,468,212,693,589,805,1112,710,1026,1658,2653,879,764,698,NULL,0,0,0,140,1 cup,28.4,1 oz,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,NULL,NULL,NULL,138.889
167886,Pork Cured Ham Extra Lean And Regular Canned Roasted,Meats,167,8.43,20.94,0.49,0,0,41,2.81,7,1.07,351,20,0,0,0,0.83,0.7,0.25,NULL,0.49,66.52,90,810,10.415,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,221,1068,2.32,0.078,0.026,26.6,NULL,NULL,NULL,0.961,0.251,5.032,0.625,0.4,NULL,5,0,5,5,81.8,5.5,0,0,0,0,0,NULL,0.7,30,0,NULL,NULL,4060,900,NULL,0,0,0,237,934,901,1628,1799,546,247,807,686,938,1296,827,1195,1933,3092,1025,891,814,NULL,0,0,0,140,1 cup,85,3 oz,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,NULL,NULL,NULL,119.76
167887,Pork Fresh Loin Top Loin (Chops) Boneless Separable Lean And Fat Cooked Pan-Fried,Meats,196,7.86,29.36,0,0,0,70,3.058,12,0.82,376,25,13,4,0,0.82,0.6,0.22,NULL,0,62.62,52,1153,16.11,0.044,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,283,86,2.26,0.095,0.01,40.5,NULL,NULL,NULL,0.635,0.229,10.523,1.359,0.558,NULL,0,0,0,0,100.7,3.9,4,0,0,0,0,NULL,0.6,23,0,0,NULL,3491,1278,43,0,8,1,349,1291,1390,2417,2612,805,331,1220,1163,1485,1892,1194,1682,2747,4486,1327,1187,1226,102,0,0,0,142,1 chop,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,NULL,NULL,NULL,102.041
167888,Pork Fresh Composite Of Trimmed Retail Cuts (Leg Loin Shoulder And Spareribs) Separable Lean And Fat Raw,Meats,216,14.95,18.95,0,NULL,0,67,5.28,19,0.86,335,21,7,2,0.5,0.66,NULL,NULL,NULL,0,65.11,90,1310,8.818,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,200,55,2.01,0.064,0.011,28.4,NULL,NULL,NULL,0.841,0.254,4.504,0.73,0.445,NULL,5,0,5,5,NULL,NULL,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,6630,1550,NULL,NULL,NULL,NULL,234,855,873,1509,1696,493,238,753,648,1021,1197,738,1112,1741,2921,983,807,783,NULL,NULL,NULL,NULL,28.4,1 oz,453.6,1 lb,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,NULL,NULL,NULL,92.593
167889,Pork Fresh Loin Center Rib (Chops Or Roasts) Boneless Separable Lean And Fat Raw,Meats,211,14.01,19.9,0,0,0,60,4.86,5,0.71,384,20,6,0,0.3,0.5,1.4,0.29,NULL,0,66.15,100,1250,8.199,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,193,42,1.57,0.054,0.009,32,NULL,NULL,NULL,0.779,0.247,4.638,0.703,0.417,NULL,6,0,6,6,NULL,NULL,2,0,0,0,0,NULL,1.4,54,NULL,NULL,NULL,6250,1500,NULL,NULL,NULL,NULL,245,897,916,1584,1780,517,250,791,680,1072,1258,774,1169,1827,3063,1038,850,822,NULL,0,0,0,85,3 oz,101,"1 chop, excluding refuse (yield from 1 raw chop, with refuse, weighing 113 g)",NULL,,NULL,,NULL,,NULL,,NULL,,NULL,NULL,NULL,NULL,94.787
167890,Pork Fresh Loin Center Rib (Chops) Boneless Separable Lean And Fat Cooked Braised,Meats,255,15.79,26.29,0,NULL,0,73,6.12,5,0.92,387,17,7,2,0.3,0.44,NULL,NULL,NULL,0,58.15,40,1200,10.568,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,172,40,2.07,0.071,0.009,33.4,NULL,NULL,NULL,0.525,0.242,4.311,0.605,0.31,NULL,4,0,4,4,NULL,NULL,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7210,1320,NULL,NULL,NULL,NULL,322,1182,1205,2089,2349,680,329,1044,894,1414,1669,1016,1547,2408,4030,1402,1140,1086,NULL,NULL,NULL,NULL,85,3 oz,81,"1 chop, excluding refuse (yield from 1 raw chop, with refuse, weighing 113 g)",NULL,,NULL,,NULL,,NULL,,NULL,,NULL,NULL,NULL,NULL,78.431
167891,Pork Fresh Loin Center Rib (Chops) Boneless Separable Lean And Fat Cooked Broiled,Meats,260,15.76,27.63,0,NULL,0,82,5.79,28,0.77,401,26,7,2,0.3,0.67,NULL,NULL,NULL,0,53.37,40,1100,12.799,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,237,62,2.26,0.068,0.018,44,NULL,NULL,NULL,0.834,0.3,4.945,0.701,0.371,NULL,8,0,8,8,NULL,NULL,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7010,1240,NULL,NULL,NULL,NULL,339,1243,1267,2196,2469,715,346,1097,940,1486,1752,1069,1625,2532,4239,1467,1195,1141,NULL,NULL,NULL,NULL,85,3 oz,80,"1 chop, excluding refuse (yield from 1 raw chop, with refuse, weighing 113 g)",NULL,,NULL,,NULL,,NULL,,NULL,,NULL,NULL,NULL,NULL,76.923
167892,Pork Fresh Loin Center Rib (Chops) Boneless Separable Lean And Fat Cooked Pan-Fried,Meats,273,18.05,25.82,0,0,0,73,6.72,11,0.73,428,24,7,2,0,0.59,0.9,0.2,NULL,0,56.34,120,1870,11.283,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,228,50,2.04,0.067,0.007,41.9,NULL,NULL,NULL,0.708,0.313,4.805,0.723,0.357,NULL,7,0,7,7,88.7,3.4,2,0,0,0,0,NULL,0.9,34,0,0,NULL,7960,2080,NULL,0,0,0,314,1158,1179,2048,2304,665,322,1024,874,1386,1644,992,1522,2567,3944,1402,1133,1066,NULL,0,0,0,85,3 oz,75,"1 chop, excluding refuse (yield from 1 raw chop, with refuse, weighing 113 g)",NULL,,NULL,,NULL,,NULL,,NULL,,NULL,NULL,NULL,NULL,73.26
167893,Pork Fresh Loin Center Rib (Chops) Boneless Separable Lean Only Cooked Pan-Fried,Meats,224,11.8,27.68,0,0,0,70,4.3,5,0.78,454,27,6,2,0.3,0.61,0.6,0.22,NULL,0,60.86,110,1340,11.978,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,237,52,2.14,0.069,0.007,45.4,NULL,NULL,NULL,0.761,0.34,5.115,0.778,0.388,NULL,8,0,8,8,95.1,3.7,2,0,0,0,0,NULL,0.6,22,0,0,NULL,5310,1490,NULL,0,0,0,352,1264,1296,2221,2489,733,353,1105,964,1502,1721,1106,1612,2567,4333,1314,1112,1143,NULL,0,0,0,85,3 oz,66,"1 chop, excluding refuse (yield from 1 raw chop, with refuse, weighing 113 g)",NULL,,NULL,,NULL,,NULL,,NULL,,NULL,NULL,NULL,NULL,89.286
167894,Pork Fresh Loin Center Rib (Roasts) Boneless Separable Lean Only Cooked Roasted,Meats,214,10.13,28.81,0,NULL,0,83,3.54,6,1,363,24,8,0,0.4,0.55,0.7,NULL,NULL,0,60.61,20,730,13.962,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,222,50,2.83,0.012,0.011,43.2,NULL,NULL,NULL,0.639,0.312,5.355,0.581,0.4,NULL,9,0,9,9,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,0.7,29,NULL,NULL,NULL,4490,850,NULL,NULL,NULL,NULL,366,1316,1349,2312,2591,763,367,1150,1004,1563,1791,1151,1678,2672,4510,1368,1157,1190,NULL,NULL,NULL,NULL,85,3 oz,283,"1 piece, cooked, excluding refuse (yield from 1 lb raw meat with refuse)",NULL,,NULL,,NULL,,NULL,,NULL,,NULL,NULL,NULL,NULL,93.458
167895,Pork Fresh Loin Country-Style Ribs Separable Lean And Fat Raw,Meats,189,11.82,19.34,0,0,0,74,2.37,22,0.85,318,21,8,2,0,1,0.7,0.23,NULL,0,68.22,40,924,9.07,0.067,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,193,63,2.78,0.078,0.011,32.3,NULL,NULL,NULL,0.375,0.253,3.082,1.609,0.539,NULL,0,0,0,0,81.4,4.3,2,0,0,0,0,NULL,0.7,29,0,0,NULL,2762,966,40,0,0,0,204,868,952,1648,1794,533,223,813,736,1011,1287,836,1135,1892,3088,872,782,836,50,0,0,0,128,"1 rib without refuse (yield from 1 raw rib, with refuse, weighing 196g)",28.4,1 oz,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,NULL,NULL,NULL,105.82
167896,Pork Fresh Loin Country-Style Ribs Separable Lean And Fat Cooked Braised,Meats,273,17.71,26.49,0,0,0,103,6.302,34,1.34,288,23,6,2,0,0.96,1.3,0.12,NULL,0,53.9,84,1947,13.33,0.153,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,202,58,4.23,0.101,0.01,46.3,NULL,NULL,NULL,0.461,0.283,5.548,1.363,0.472,NULL,0,0,0,0,108.2,3.6,2,0,0,0,0,NULL,1.3,50,0,0,NULL,7654,2138,84,0,0,0,279,1189,1303,2257,2457,730,306,1113,1008,1384,1763,1144,1555,2591,4229,1194,1071,1145,68,0,0,0,86,"1 rib without refuse (yield from 1 cooked rib, with refuse, weighing 140g)",85,3 oz,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,NULL,NULL,NULL,73.26
167897,Country-Style Roasted Pork Ribs,Meats,359,29.46,21.75,0,0,0,91,10.689,25,1,322,22,8,2,0.3,0.76,1.8,0,NULL,0,48.38,6,2691,10.878,0.048,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,214,52,2.2,0.057,0.003,34.5,NULL,NULL,NULL,0.82,0.329,4.196,0.726,0.419,NULL,4,0,4,4,3.3,0.2,2,0,0,0,0,NULL,1.8,72,0,0,NULL,12825,2972,NULL,0,4,2,275,992,1019,1747,1955,577,276,869,761,1177,1354,870,1266,2018,3402,1031,874,899,2,0,0,0,138,1 rack,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,NULL,NULL,NULL,55.71
167898,Pork Fresh Loin Sirloin (Chops) Boneless Separable Lean And Fat Cooked Braised,Meats,171,5.47,28.41,0,0,0,80,1.87,11,0.71,411,25,7,2,0,0.62,0.4,0.18,NULL,0,65.78,15,837,15.215,0.008,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,291,56,2.01,0.083,0.014,45.5,NULL,NULL,NULL,0.656,0.265,7.76,0.985,0.523,NULL,0,0,0,0,87.4,3.4,2,0,0,0,0,NULL,0.4,15,0,0,NULL,2246,963,7,0,8,0,338,1249,1345,2338,2526,779,320,1180,1126,1437,1830,1156,1627,2657,4340,1284,1149,1186,99,0,0,0,85,3 oz,82,"1 chop, excluding refuse (yield from 1 raw chop, with refuse, weighing 113 g)",NULL,,NULL,,NULL,,NULL,,NULL,,NULL,NULL,NULL,NULL,116.959
167899,Pork Fresh Loin Sirloin (Chops) Boneless Separable Lean And Fat Cooked Broiled,Meats,170,5.53,28.19,0,0,0,76,1.785,11,0.87,420,27,8,2,0,0.75,0.7,0.26,NULL,0,65.98,27,724,14.902,0.019,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,292,65,2.15,0.085,0.015,45.3,NULL,NULL,NULL,0.653,0.29,8.654,1.295,0.584,NULL,0,0,0,0,105.6,4.1,2,0,0,0,0,NULL,0.7,26,0,0,NULL,2106,822,22,0,5,0,336,1240,1335,2320,2507,773,318,1171,1117,1426,1816,1147,1615,2637,4306,1274,1140,1177,98,0,0,0,85,3 oz,159,1 chop,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,NULL,NULL,NULL,117.647
167900,Pork Fresh Loin Sirloin (Roasts) Boneless Separable Lean And Fat Cooked Roasted,Meats,192,7.32,29.62,0,0,0,84,2.528,13,0.66,398,27,7,2,0,0.93,0.6,0.2,NULL,0,62.82,46,1082,16.485,0.04,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,304,66,2.2,0.109,0.017,44.7,NULL,NULL,NULL,0.705,0.327,8.055,1.616,0.533,NULL,0,0,0,0,96.9,3.8,2,0,0,0,0,NULL,0.6,25,0,0,NULL,3068,1198,37,0,8,1,353,1303,1402,2438,2634,812,334,1231,1174,1498,1909,1205,1697,2771,4525,1339,1198,1237,103,0,0,0,85,3 oz,638,1 roast,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,NULL,NULL,NULL,104.167
167901,Pork Fresh Loin Sirloin (Chops Or Roasts) Boneless Separable Lean Only Raw,Meats,121,2.59,22.81,0,0,0,63,0.906,9,0.56,354,23,7,2,0,0.49,0.4,0.17,NULL,0,74.3,9,347,12.273,0.007,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,251,63,1.72,0.069,0.011,37.4,NULL,NULL,NULL,0.61,0.256,7.348,0.728,0.611,NULL,0,0,0,0,78.4,3,2,0,0,0,0,NULL,0.4,16,0,0,NULL,1099,413,8,0,1,0,271,1003,1080,1877,2028,625,257,948,904,1154,1470,928,1306,2133,3484,1031,922,952,80,0,0,0,85,3 oz,210,1 chop,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,NULL,NULL,NULL,165.289
167902,Pork Fresh Ground Raw,Meats,263,21.19,16.88,0,NULL,0,72,7.87,14,0.88,287,19,7,2,0.7,0.7,NULL,NULL,NULL,0,61.06,70,1670,8.009,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,175,56,2.2,0.045,0.01,24.6,NULL,NULL,NULL,0.732,0.235,4.338,0.668,0.383,NULL,5,0,5,5,NULL,NULL,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,9440,1910,NULL,NULL,NULL,NULL,214,771,790,1354,1518,447,215,674,588,916,1049,674,983,1566,2642,802,678,697,NULL,NULL,NULL,NULL,28.4,1 oz,113,4 oz,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,NULL,NULL,NULL,76.046
167903,Cooked Ground Pork,Meats,297,20.77,25.69,0,0,0,94,7.72,22,1.29,362,24,8,2,0.7,0.54,0.5,0.21,NULL,0,52.75,70,1640,12.395,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,226,73,3.21,0.044,0.011,35.4,NULL,NULL,NULL,0.706,0.22,4.206,0.52,0.391,NULL,6,0,6,6,88.3,3.4,2,0,0,0,0,NULL,0.5,21,0,0,NULL,9250,1870,NULL,0,0,0,326,1173,1203,2061,2310,680,328,1025,895,1394,1597,1026,1497,2383,4022,1220,1032,1061,NULL,0,0,0,85,3 oz,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,NULL,NULL,NULL,67.34
